"","bodyid","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"1",1671638278,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNl20",2.07,2,"1727913","good","(116346.89, 66924.05, 2106)","720575940612616354","Trh-M-000008","good",NA,NA,"ASB",NA
"2",1037293275,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm16",3.052,3,"32793","good","(118630.43, 62616.3275, 1945)","720575940608771960",NA,NA,NA,NA,"ASB",NA
"3",1733677514,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm16",3.072,3,"32801","good","(117096.085, 63379.325, 1820)","720575940641817288",NA,NA,NA,NA,"ASB",NA
"4",577542489,"ALlv1","BAlp4","AVM06","M_lvPNm24",2.281,2,"177545","good","(120004.1325, 62719.735, 2080)","720575940614141725","GMR_MB390B-20150814_31_C2","good",NA,NA,"ASB",NA
"5",1671952694,"ALlv1","BAlp4","AVM06","M_lvPNm24",2.309,2,"177584","good","(120232.475, 62621.7425, 2106)","720575940657653377","GMR_MB390B-20150814_31_C4","good",NA,NA,"ASB",NA
"6",1411784734,"ALlv1","BAlp4","AVM06","M_lvPNm25",2.251,2,"177997","good","(120219.3, 62586.5, 1981)","720575940628609787",NA,NA,NA,NA,"ASB",NA
"7",610274029,"ALv1","BAla1","AVM04","M_vPNml50",3.085,3,"3003322","good","(119828.6, 60110.2925, 1919)","720575940643268206",NA,NA,NA,NA,"ASB",NA
"8",610274046,"ALv1","BAla1","AVM04","M_vPNml50",3.037,3,"2766186","good","(118190.445, 60474.0475, 1683)","720575940643267950",NA,NA,NA,NA,"ASB",NA
"9",1316245799,"DM6_lateral","CM3","PVM01","M_spPN4t9",3.042,3,"4905365","good","(120907, 62679.8, 2328)","720575940615096891",NA,NA,NA,NA,"ASB",NA
"10",1733370882,"DM6_lateral","CM3","PVM01","M_spPN5t10",2.705,4,"8777795","good","(125306.5, 58029.5, 3251)","720575940628217564",NA,NA,NA,NA,"ASB",NA
"11",5813024692,NA,NA,NA,"M_adPNm3",2.283,2,"57543","good","(119742.36, 65038.035, 1924)","720575940632553879",NA,NA,NA,NA,"ASB",NA
"12",1702306047,NA,NA,NA,"M_ilPN8t91",3.043,3,"8715672","good","(121098.89, 76423.93, 3362)","720575940615488916",NA,NA,NA,NA,"ASB",NA
"13",1671608112,NA,NA,NA,"M_ilPNm90",3.01,3,"2070199","good","(143601.5, 78817.7575, 3235)","720575940616942494",NA,NA,NA,NA,"ASB",NA
"14",1701299822,NA,NA,NA,"M_imPNl92",3.085,3,"4954525","good","(130887.5, 85562.25, 3377)","720575940628000567","L2444#1","good",NA,NA,"ASB",NA
"15",1102334088,NA,NA,NA,"M_lv2PN9t49",3.168,3,"4002166","good","(114709.125, 69529.625, 2456)","720575940621817085",NA,NA,NA,NA,"ASB",NA
"16",1888178718,NA,NA,NA,"M_lv2PN9t49",2.66,3,"4002166",NA,"(106564, 64723.5, 3681)","720575940629475385",NA,NA,NA,NA,"ASB",NA
"17",731690040,NA,NA,NA,"M_spPN5t10",4.649,4,"4175139","good","(138529.25, 57316.3175, 3012)","720575940625508239",NA,NA,NA,NA,"ASB",NA
