"","query","pre_id","weight","n","type","xyz"
"1","720575940612616354","720575940623616560",155,1,"HRN_VP5","(118371.915, 68780.415, 1877)"
"2","720575940612616354","720575940614710569",143,1,NA,NA
"3","720575940612616354","720575940638426064",137,1,"il3LN6","(123456.25, 83791.75, 2704)"
"4","720575940612616354","720575940610178309",135,1,NA,NA
"5","720575940612616354","720575940610209285",134,1,NA,NA
"6","720575940612616354","720575940610211333",133,1,NA,NA
"7","720575940612379282","720575940614616605",133,1,NA,NA
"8","720575940612379282","720575940638426064",131,1,"il3LN6","(123456.25, 83791.75, 2704)"
"9","720575940612379282","720575940642156823",131,1,NA,NA
"10","720575940612616354","720575940617533225",130,1,NA,NA
"11","720575940612379282","720575940614640925",130,1,NA,NA
"12","720575940612379282","720575940618596955",129,1,NA,NA
"13","720575940612616354","720575940614432285",127,1,NA,NA
"14","720575940612379282","720575940614882333",125,1,NA,NA
"15","720575940612379282","720575940640412183",124,1,NA,NA
"16","720575940612616354","720575940607846690",115,1,NA,NA
"17","720575940612379282","720575940614656797",115,1,NA,NA
"18","720575940612616354","720575940616744059",113,1,NA,NA
"19","720575940612379282","720575940614432029",109,1,NA,NA
"20","720575940612379282","720575940614884381",107,1,NA,NA
"21","720575940612616354","720575940630145361",105,1,NA,NA
"22","720575940612379282","720575940610211333",101,1,NA,NA
"23","720575940612616354","720575940610185221",97,1,NA,NA
"24","720575940612379282","720575940617163653",97,1,NA,NA
"25","720575940612616354","720575940612099635",96,1,NA,NA
"26","720575940612616354","720575940617579049",94,1,NA,NA
"27","720575940612616354","720575940610208773",93,1,"ORN_DP1m","(118884.75, 55394.7025, 1809)"
"28","720575940612616354","720575940607851042",92,1,NA,NA
"29","720575940612379282","720575940607846690",92,1,NA,NA
"30","720575940612379282","720575940614430749",92,1,NA,NA
"31","720575940612379282","720575940635411445",91,1,NA,NA
"32","720575940612379282","720575940629048160",90,1,NA,NA
"33","720575940612616354","720575940622219784",88,1,NA,NA
"34","720575940612379282","720575940610178309",87,1,NA,NA
"35","720575940612379282","720575940610185221",87,1,NA,NA
