"","query","post_id","weight","n","type","xyz"
"1","720575940618980262","720575940603996337",201,1,NA,NA
"2","720575940618980262","720575940628647286",157,1,"AL-MBDL1_L","130989, 51844, 1568"
"3","720575940618980262","720575940606494044",118,1,NA,NA
"4","720575940618980262","720575940630033256",94,1,NA,NA
"5","720575940608687662","720575940639208949",86,1,"AL-MBDL1","(131083.375, 51012.6, 1568)"
"6","720575940618980262","720575940613778444",70,1,"CRE050","(134763.175, 40414.1125, 2153)"
"7","720575940637680189","720575940622206707",70,1,"WEDPN4","(101778.14, 62440.335, 4163)"
"8","720575940608687662","720575940622206707",64,1,"WEDPN4","(101778.14, 62440.335, 4163)"
"9","720575940637680189","720575940613152991",61,1,NA,NA
"10","720575940618980262","720575940606460508",57,1,NA,NA
"11","720575940637680189","720575940639208949",55,1,"AL-MBDL1","(131083.375, 51012.6, 1568)"
"12","720575940637680189","720575940611594477",54,1,NA,NA
"13","720575940608687662","720575940611594477",50,1,NA,NA
"14","720575940618980262","720575940618117467",45,1,NA,NA
"15","720575940618980262","720575940623384909",45,1,NA,NA
"16","720575940637680189","720575940647678329",44,1,NA,NA
"17","720575940618980262","720575940648884609",43,1,NA,NA
"18","720575940608687662","720575940606477525",43,1,NA,NA
"19","720575940608687662","720575940613902523",43,1,NA,NA
"20","720575940618980262","720575940649085313",42,1,NA,NA
"21","720575940618980262","720575940621981621",40,1,NA,NA
"22","720575940608687662","720575940613152991",40,1,NA,NA
"23","720575940608687662","720575940615115835",39,1,"LHAV6g1","(100508.5, 33604, 3727)"
"24","720575940608687662","720575940628185916",39,1,NA,NA
"25","720575940608687662","720575940632690330",37,1,"WEDPN3","(100889.5, 59186.25, 4448)"
"26","720575940618980262","720575940630845869",35,1,NA,NA
"27","720575940637680189","720575940613902523",35,1,NA,NA
"28","720575940608687662","720575940645253508",35,1,NA,NA
"29","720575940618980262","720575940623064078",34,1,NA,NA
"30","720575940637680189","720575940615115835",34,1,"LHAV6g1","(100508.5, 33604, 3727)"
"31","720575940608687662","720575940630507940",34,1,NA,NA
"32","720575940618980262","720575940621565879",33,1,NA,NA
