"","query","post_id","weight","n","type","xyz"
"1","720575940615488916","720575940615555362",171,1,NA,NA
"2","720575940616942494","720575940615555362",118,1,NA,NA
"3","720575940615488916","720575940637281725",98,1,"OA-VUMa2","(131824.4375, 71616.805, 3521)"
"4","720575940616942494","720575940637281725",97,1,"OA-VUMa2","(131824.4375, 71616.805, 3521)"
"5","720575940616942494","720575940628831575",96,1,"PPL203","(104433.7575, 35998.3475, 4463)"
"6","720575940615488916","720575940628831575",87,1,"PPL203","(104433.7575, 35998.3475, 4463)"
"7","720575940615488916","720575940645261188",71,1,NA,NA
"8","720575940616942494","720575940619623518",65,1,"LHPV6o1","(95692.15, 43252.765, 4843)"
"9","720575940616942494","720575940609402318",59,1,NA,NA
"10","720575940616942494","720575940627103551",57,1,"LHPV2a2","(93643, 40601.5, 4561)"
"11","720575940615488916","720575940604943282",56,1,NA,NA
"12","720575940616942494","720575940645261188",56,1,NA,NA
"13","720575940615488916","720575940619623518",55,1,"LHPV6o1","(95692.15, 43252.765, 4843)"
"14","720575940616942494","720575940590270050",51,1,NA,NA
"15","720575940616942494","720575940607092337",51,1,"LHAV3o1","(95558.375, 28283.645, 4367)"
"16","720575940616942494","720575940609918706",51,1,NA,NA
"17","720575940616942494","720575940630616275",51,1,NA,NA
"18","720575940615488916","720575940627103551",49,1,"LHPV2a2","(93643, 40601.5, 4561)"
"19","720575940616942494","720575940639962497",46,1,NA,NA
"20","720575940615488916","720575940630616275",45,1,NA,NA
"21","720575940615488916","720575940609402318",42,1,NA,NA
"22","720575940616942494","720575940604943282",42,1,NA,NA
"23","720575940615488916","720575940616472118",40,1,NA,NA
"24","720575940616942494","720575940612127283",40,1,NA,NA
"25","720575940615488916","720575940607092337",39,1,"LHAV3o1","(95558.375, 28283.645, 4367)"
"26","720575940616942494","720575940615590484",39,1,NA,NA
"27","720575940615488916","720575940630065768",38,1,"OA-VUMa2","(132230.5, 72240.75, 4239)"
"28","720575940616942494","720575940613547679",38,1,NA,NA
"29","720575940616942494","720575940608646128",37,1,"LHPV2a1_c","(94138.47, 44419.59, 4415)"
"30","720575940616942494","720575940620589336",37,1,"LHPV6g1","(96600.235, 36398.0625, 4551)"
"31","720575940615488916","720575940609918706",35,1,NA,NA
"32","720575940615488916","720575940637419325",34,1,NA,NA
"33","720575940616942494","720575940630065768",34,1,"OA-VUMa2","(132230.5, 72240.75, 4239)"
"34","720575940615488916","720575940608646128",33,1,"LHPV2a1_c","(94138.47, 44419.59, 4415)"
"35","720575940615488916","720575940612127283",33,1,NA,NA
"36","720575940615488916","720575940620589336",33,1,"LHPV6g1","(96600.235, 36398.0625, 4551)"
"37","720575940615488916","720575940640403144",31,1,NA,NA
"38","720575940616942494","720575940613579167",31,1,NA,NA
"39","720575940616942494","720575940634715566",31,1,NA,NA
"40","720575940616942494","720575940637419325",31,1,NA,NA
"41","720575940615488916","720575940613547679",30,1,NA,NA
"42","720575940616942494","720575940634388452",30,1,NA,NA
"43","720575940615488916","720575940627871223",29,1,NA,NA
"44","720575940615488916","720575940604955058",26,1,NA,NA
"45","720575940616942494","720575940611526342",26,1,NA,NA
"46","720575940616942494","720575940626983783",26,1,NA,NA
"47","720575940615488916","720575940614294389",25,1,NA,NA
"48","720575940616942494","720575940615368994",24,1,NA,NA
"49","720575940616942494","720575940627871223",24,1,NA,NA
"50","720575940615488916","720575940604572105",23,1,NA,NA
"51","720575940615488916","720575940611526342",23,1,NA,NA
"52","720575940615488916","720575940619882078",23,1,NA,NA
"53","720575940615488916","720575940634388452",23,1,NA,NA
"54","720575940615488916","720575940634715566",23,1,NA,NA
"55","720575940616942494","720575940618445550",23,1,NA,NA
"56","720575940616942494","720575940626086897",23,1,"SLP313","(97999.75, 30330.28, 4257)"
"57","720575940615488916","720575940617842311",22,1,NA,NA
"58","720575940615488916","720575940628699617",22,1,NA,NA
"59","720575940615488916","720575940629568067",22,1,NA,NA
"60","720575940616942494","720575940618461168",22,1,NA,NA
"61","720575940615488916","720575940619923396",21,1,NA,NA
"62","720575940616942494","720575940603884721",21,1,NA,NA
"63","720575940616942494","720575940640269000",21,1,NA,NA
"64","720575940615488916","720575940618445550",20,1,NA,NA
"65","720575940615488916","720575940623921726",20,1,"LHAV3p1","(94760, 35474.75, 4901)"
"66","720575940616942494","720575940627218536",20,1,NA,NA
"67","720575940615488916","720575940613579167",19,1,NA,NA
"68","720575940616942494","720575940604955058",19,1,NA,NA
"69","720575940616942494","720575940629421123",19,1,NA,NA
"70","720575940615488916","720575940629371459",18,1,"LHPV4b3","(97523.39, 35141.515, 4852)"
"71","720575940616942494","720575940615353949",18,1,NA,NA
"72","720575940615488916","720575940639962497",17,1,NA,NA
"73","720575940615488916","720575940643041646",17,1,NA,NA
"74","720575940616942494","720575940613688507",17,1,NA,NA
"75","720575940616942494","720575940630718381",17,1,NA,NA
"76","720575940615488916","720575940606460508",16,1,NA,NA
"77","720575940615488916","720575940615761542",16,1,NA,NA
"78","720575940615488916","720575940617640139",16,1,NA,NA
"79","720575940615488916","720575940618994785",16,1,NA,NA
"80","720575940615488916","720575940627218536",16,1,NA,NA
"81","720575940616942494","720575940616472118",16,1,NA,NA
"82","720575940616942494","720575940629371459",16,1,"LHPV4b3","(97523.39, 35141.515, 4852)"
"83","720575940615488916","720575940602259680",15,1,NA,NA
"84","720575940615488916","720575940614119029",15,1,NA,NA
"85","720575940615488916","720575940615353949",15,1,NA,NA
"86","720575940615488916","720575940615590484",15,1,NA,NA
"87","720575940616942494","720575940615488916",15,1,"M_ilPN8t91","(121098.89, 76423.93, 3362)"
"88","720575940616942494","720575940615559408",15,1,"lLN1_b","(114982.75, 60562.5, 1557)"
"89","720575940616942494","720575940657362049",15,1,NA,NA
"90","720575940615488916","720575940603332710",14,1,NA,NA
"91","720575940615488916","720575940603884721",14,1,NA,NA
"92","720575940615488916","720575940615824368",14,1,"lLN2T_a","(114311.485, 61819.1675, 1564)"
"93","720575940615488916","720575940616942494",14,1,"M_ilPNm90","(143601.5, 78817.7575, 3235)"
"94","720575940615488916","720575940617992897",14,1,NA,NA
"95","720575940615488916","720575940624159196",14,1,NA,NA
"96","720575940615488916","720575940628847865",14,1,NA,NA
"97","720575940616942494","720575940617992897",14,1,NA,NA
"98","720575940616942494","720575940619365492",14,1,"FB2H_b","(115434.39, 31179.795, 3531)"
"99","720575940616942494","720575940624291100",14,1,NA,NA
"100","720575940616942494","720575940625822120",14,1,NA,NA
"101","720575940616942494","720575940640403144",14,1,NA,NA
"102","720575940615488916","720575940618104199",13,1,NA,NA
"103","720575940615488916","720575940625822120",13,1,NA,NA
"104","720575940615488916","720575940631336825",13,1,NA,NA
"105","720575940615488916","720575940632864740",13,1,NA,NA
"106","720575940616942494","720575940594250201",13,1,NA,NA
"107","720575940616942494","720575940615280601",13,1,NA,NA
"108","720575940616942494","720575940616338181",13,1,NA,NA
"109","720575940616942494","720575940618360747",13,1,NA,NA
"110","720575940616942494","720575940626496272",13,1,"lLN1_a","(112841, 56444.25, 1372)"
"111","720575940615488916","720575940603984662",12,1,NA,NA
"112","720575940615488916","720575940627042459",12,1,"DN","(123746, 78015, 5798)"
"113","720575940615488916","720575940628697057",12,1,NA,NA
"114","720575940615488916","720575940639690881",12,1,NA,NA
"115","720575940616942494","720575940615749288",12,1,NA,NA
"116","720575940616942494","720575940628697057",12,1,NA,NA
"117","720575940615488916","720575940594207193",11,1,NA,NA
"118","720575940615488916","720575940603536672",11,1,NA,NA
"119","720575940615488916","720575940613723067",11,1,"VP1d+VP4_l2PN1","(117625.53, 62539.855, 2031)"
"120","720575940615488916","720575940618360747",11,1,NA,NA
"121","720575940615488916","720575940620747213",11,1,NA,NA
"122","720575940615488916","720575940625483797",11,1,NA,NA
"123","720575940615488916","720575940627887164",11,1,NA,NA
"124","720575940615488916","720575940628756020",11,1,NA,NA
"125","720575940615488916","720575940630718381",11,1,NA,NA
"126","720575940616942494","720575940600804135",11,1,NA,NA
"127","720575940616942494","720575940619882078",11,1,NA,NA
"128","720575940616942494","720575940627961911",11,1,NA,NA
"129","720575940616942494","720575940631712225",11,1,NA,NA
"130","720575940616942494","720575940636659253",11,1,"LHPV2a1_e","(94400.04, 41866.4325, 4462)"
"131","720575940616942494","720575940638110709",11,1,NA,NA
"132","720575940615488916","720575940601501223",10,1,NA,NA
"133","720575940615488916","720575940615749288",10,1,NA,NA
"134","720575940615488916","720575940619080118",10,1,NA,NA
"135","720575940615488916","720575940625099786",10,1,NA,NA
"136","720575940615488916","720575940628467048",10,1,NA,NA
"137","720575940615488916","720575940630624339",10,1,NA,NA
"138","720575940615488916","720575940636659253",10,1,"LHPV2a1_e","(94400.04, 41866.4325, 4462)"
"139","720575940615488916","720575940636965454",10,1,"DN","(133572, 84958, 5817)"
"140","720575940616942494","720575940603332710",10,1,NA,NA
"141","720575940616942494","720575940614294389",10,1,NA,NA
"142","720575940616942494","720575940616625787",10,1,NA,NA
"143","720575940616942494","720575940628699617",10,1,NA,NA
"144","720575940616942494","720575940630481060",10,1,NA,NA
"145","720575940616942494","720575940635067364",10,1,NA,NA
"146","720575940616942494","720575940639793537",10,1,NA,NA
"147","720575940616942494","720575940656957057",10,1,NA,NA
"148","720575940615488916","720575940609801414",9,1,NA,NA
"149","720575940615488916","720575940612577790",9,1,NA,NA
"150","720575940615488916","720575940613447489",9,1,NA,NA
"151","720575940615488916","720575940615280601",9,1,NA,NA
"152","720575940615488916","720575940615368994",9,1,NA,NA
"153","720575940615488916","720575940615559408",9,1,"lLN1_b","(114982.75, 60562.5, 1557)"
"154","720575940615488916","720575940617126790",9,1,NA,NA
"155","720575940615488916","720575940619365492",9,1,"FB2H_b","(115434.39, 31179.795, 3531)"
"156","720575940615488916","720575940619882017",9,1,NA,NA
"157","720575940615488916","720575940627468144",9,1,NA,NA
"158","720575940615488916","720575940627768770",9,1,NA,NA
"159","720575940615488916","720575940628552911",9,1,NA,NA
"160","720575940615488916","720575940635558889",9,1,"DL1_adPN","(97612.85, 33646.9225, 4430)"
"161","720575940615488916","720575940640615368",9,1,NA,NA
